""	""	"(1)"	"(2)"	"(3)"	"(4)"	"(5)"	"(6)"	"(7)"	"(8)"	"(9)"	"(10)"	"(11)"	"(12)"	"(13)"	"(14)"	"(15)"	"(16)"	"(17)"	"(18)"	"(19)"	"(20)"	"(21)"	"(22)"	"(23)"	"(24)"	"(25)"	"(26)"	"(27)"	"(28)"	"(29)"	"(30)"	"(31)"	"(32)"	"(33)"	"(34)"	"(35)"	"(36)"
""	""	"Production"	""	""	""	""	""	"Production value"	""	""	""	""	""	"Yield"	""	""	""	""	""	"Production"	""	""	""	""	""	"Production value"	""	""	""	""	""	"Yield"	""	""	""	""	""
"VARIABLES"	"LABELS"	"coef"	"se"	"pval"	"aster"	"ci_low"	"ci_high"	"coef"	"se"	"pval"	"aster"	"ci_low"	"ci_high"	"coef"	"se"	"pval"	"aster"	"ci_low"	"ci_high"	"coef"	"se"	"pval"	"aster"	"ci_low"	"ci_high"	"coef"	"se"	"pval"	"aster"	"ci_low"	"ci_high"	"coef"	"se"	"pval"	"aster"	"ci_low"	"ci_high"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"adopt"	"Adoption dummy"	"538.366455"	"36.535774"	"0.000000"	"***"	"466.747488"	"609.985423"	"359.339966"	"24.098564"	"0.000000"	"***"	"312.100943"	"406.578989"	"283.336090"	"15.074870"	"0.000000"	"***"	"253.785693"	"312.886487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"improvsup"	"Area under adoption (ha)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"238.550262"	"34.459335"	"0.000000"	"***"	"171.001618"	"306.098907"	"216.813904"	"24.253115"	"0.000000"	"***"	"169.271924"	"264.355883"	"57.225677"	"6.402504"	"0.000000"	"***"	"44.675218"	"69.776137"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Observations"	""	"8,604"	""	""	""	""	""	"8,604"	""	""	""	""	""	"8,604"	""	""	""	""	""	"8,604"	""	""	""	""	""	"8,604"	""	""	""	""	""	"8,604"	""	""	""	""	""
"R-squared"	""	"0.616205"	""	""	""	""	""	"0.593745"	""	""	""	""	""	"0.181067"	""	""	""	""	""	"0.621579"	""	""	""	""	""	"0.612736"	""	""	""	""	""	"0.156439"	""	""	""	""	""
