adopt,qsale,gprod
Adopter,0,958.14263916015625
Adopter,54,197.48764038085938
Non-adopter,0,856.2762451171875
Adopter,0,701.78179931640625
Adopter,200,1434.734375
Non-adopter,0,432.5034484863281
Adopter,0,1021.39453125
Adopter,100,383.40509033203125
Non-adopter,0,1111.7265625
Adopter,0,1060.288330078125
Adopter,50,882.44134521484375
Non-adopter,0,2996.5380859375
Adopter,0,723.96435546875
Adopter,150,691.365966796875
Adopter,200,2951.633056640625
Adopter,200,1757.82177734375
Adopter,200,228.24227905273438
Adopter,0,3409.68994140625
Adopter,0,3655.6748046875
Adopter,100,1260.900634765625
Non-adopter,0,1058.105224609375
Non-adopter,0,254.30438232421875
Adopter,0,470.70831298828125
Adopter,0,1105.5736083984375
Adopter,0,1415.788818359375
Adopter,0,519.11993408203125
Adopter,0,3464.3427734375
Adopter,54,341.2291259765625
Non-adopter,0,353.70947265625
Adopter,0,1229.93212890625
Adopter,0,364.37847900390625
Adopter,100,771.6015625
Adopter,100,364.5908508300781
Non-adopter,200,416.16217041015625
Non-adopter,0,2047.85986328125
Adopter,0,188.49545288085938
Non-adopter,235,329.22698974609375
Non-adopter,0,435.9133605957031
Adopter,0,852.1611328125
Adopter,200,266.34954833984375
Adopter,200,598.34234619140625
Adopter,200,1094.754638671875
Adopter,140,302.9688720703125
Non-adopter,0,857.95220947265625
Adopter,0,977.77386474609375
Adopter,140,278.6210021972656
Adopter,0,38.0072135925293
Adopter,0,48.33277893066406
Non-adopter,0,214.8936004638672
Non-adopter,0,1057.4183349609375
Non-adopter,0,826.8795166015625
Adopter,100,328.2339782714844
Adopter,0,923.08270263671875
Adopter,0,371.77740478515625
Adopter,150,162.9982452392578
Adopter,0,439.3272399902344
Adopter,0,789.30438232421875
Adopter,180,202.87637329101562
Adopter,0,666.8018798828125
Adopter,0,740.617431640625
Adopter,54,1284.6365966796875
Non-adopter,0,111.5624008178711
Non-adopter,0,566.81683349609375
Non-adopter,240,1141.356689453125
Non-adopter,0,880.75494384765625
Non-adopter,0,660.31787109375
Adopter,30,111.3960189819336
Non-adopter,0,405.4308776855469
Non-adopter,0,333.9627990722656
Non-adopter,140,191.989990234375
Non-adopter,0,330.453369140625
Non-adopter,0,705.8603515625
Adopter,140,88.73243713378906
Adopter,400,2010.2628173828125
Adopter,400,369.7467956542969
Non-adopter,142,170.21678161621094
Adopter,0,965.8023681640625
Adopter,0,940.29486083984375
Non-adopter,140,279.189208984375
Non-adopter,0,2316.156982421875
Non-adopter,0,548.30926513671875
Adopter,140,69.27486419677734
Adopter,0,1499.2728271484375
Adopter,0,292.35601806640625
Non-adopter,140,473.2980041503906
Adopter,150,465.8205261230469
Non-adopter,0,668.203125
Non-adopter,0,1862.8558349609375
Adopter,240,138.32037353515625
Non-adopter,0,916.16680908203125
Adopter,0,2913.3896484375
Non-adopter,47,315.9576416015625
Adopter,0,1315.513671875
Adopter,0,300.88433837890625
Non-adopter,47,406.04315185546875
Non-adopter,0,1597.0296630859375
Non-adopter,0,2078.799560546875
Adopter,47,370.48681640625
Adopter,0,368.523681640625
Adopter,0,554.63616943359375
Adopter,54,92.6204833984375
Non-adopter,0,1541.4833984375
Adopter,0,2637.757568359375
Non-adopter,235,346.5511779785156
Non-adopter,0,1691.9383544921875
Adopter,0,2013.9898681640625
Non-adopter,145,91.02693176269531
Adopter,100,1169.822998046875
Adopter,100,925.0758056640625
Non-adopter,100,866.80731201171875
Adopter,0,453.36846923828125
Adopter,0,1401.304443359375
Adopter,141,549.86083984375
Non-adopter,0,396.23687744140625
Non-adopter,0,1628.644775390625
Non-adopter,50,87.14410400390625
Non-adopter,0,648.651123046875
Non-adopter,0,340.6075744628906
Adopter,140,424.55108642578125
Adopter,0,213.35873413085938
Adopter,0,1022.8654174804688
Adopter,240,229.88290405273438
Adopter,0,1294.3333740234375
Adopter,0,1341.079345703125
Adopter,240,533.71923828125
Non-adopter,0,231.841552734375
Non-adopter,0,1025.7322998046875
Non-adopter,0,274.2330017089844
Adopter,0,1041.921142578125
Adopter,0,1088.0086669921875
Non-adopter,47,465.6539611816406
Non-adopter,0,263.9278259277344
Adopter,0,640.10736083984375
Adopter,0,586.9462890625
Adopter,0,339.78466796875
Adopter,0,1024.484375
Adopter,140,244.2182159423828
Non-adopter,0,1128.8402099609375
Adopter,0,811.603515625
Adopter,40,556.765380859375
Adopter,0,1352.00390625
Adopter,0,570.69244384765625
Adopter,142,53.99863815307617
Adopter,0,4758.4375
Adopter,141,92.2088623046875
Adopter,0,356.9217834472656
Adopter,0,1249.56298828125
Adopter,0,530.00738525390625
Non-adopter,0,469.8172912597656
Adopter,0,1005.7700805664062
Adopter,108,413.6747131347656
Non-adopter,0,1061.584716796875
Non-adopter,0,3480.48583984375
Adopter,140,368.5677185058594
Non-adopter,0,3113.77880859375
Adopter,240,1439.0076904296875
Non-adopter,0,4322.623046875
Adopter,0,1434.727783203125
Adopter,47,157.6569366455078
Non-adopter,0,959.24658203125
Non-adopter,0,2203.482421875
Adopter,108,579.8743896484375
Non-adopter,0,558.54522705078125
Adopter,0,1831.400146484375
Adopter,100,894.01312255859375
Adopter,0,195.606201171875
Adopter,0,883.66650390625
Adopter,0,185.3171844482422
Non-adopter,0,217.29971313476562
Non-adopter,0,20.72653579711914
Non-adopter,0,252.2267303466797
Non-adopter,0,820.38623046875
Non-adopter,0,648.613525390625
Non-adopter,0,69.71381378173828
Non-adopter,0,216.00559997558594
Non-adopter,0,426.4660339355469
Non-adopter,74,336.71685791015625
Non-adopter,0,2710.279541015625
Non-adopter,0,120.39598846435547
Non-adopter,74,437.1790466308594
Non-adopter,74,40.896297454833984
Non-adopter,0,387.2229309082031
Non-adopter,222,878.84307861328125
Non-adopter,222,152.2195281982422
Non-adopter,74,290.1005859375
Non-adopter,0,211.81851196289062
Non-adopter,0,137.59815979003906
Non-adopter,0,48.080631256103516
Non-adopter,74,156.5050506591797
Non-adopter,74,261.3624572753906
Non-adopter,0,168.66281127929688
Non-adopter,0,95.50835418701172
Non-adopter,0,130.66903686523438
Non-adopter,40,269.8275146484375
Non-adopter,0,324.1166076660156
Non-adopter,0,232.27578735351562
Non-adopter,0,294.3038024902344
Non-adopter,190,730.23712158203125
Non-adopter,190,696.97943115234375
Non-adopter,0,438.368896484375
Non-adopter,111,428.4826354980469
Non-adopter,111,576.20672607421875
Non-adopter,120,541.50933837890625
Non-adopter,0,451.7543029785156
Non-adopter,0,297.27117919921875
Non-adopter,0,237.047607421875
Non-adopter,0,184.22312927246094
Non-adopter,0,549.7528076171875
Adopter,0,96.9729232788086
Non-adopter,0,455.8859558105469
Non-adopter,0,474.58941650390625
Adopter,0,105.54329681396484
Non-adopter,74,192.4470672607422
Non-adopter,74,426.6872253417969
Non-adopter,0,240.369873046875
Non-adopter,37,165.90333557128906
Non-adopter,37,91.1859359741211
Non-adopter,0,182.92263793945312
Non-adopter,111,312.9828796386719
Non-adopter,111,125.07213592529297
Non-adopter,74,403.9817199707031
Adopter,0,420.1847229003906
Adopter,0,511.9208984375
Adopter,80,563.83087158203125
Non-adopter,0,128.00331115722656
Non-adopter,0,316.7908020019531
Non-adopter,200,422.051025390625
Non-adopter,0,187.91622924804688
Non-adopter,0,30.3348388671875
Non-adopter,0,53.716976165771484
Non-adopter,74,32.914154052734375
Non-adopter,74,451.7134704589844
Non-adopter,0,33.150543212890625
Non-adopter,0,158.94740295410156
Non-adopter,0,456.793701171875
Non-adopter,0,261.9871520996094
Non-adopter,148,554.46331787109375
Non-adopter,148,558.09027099609375
Non-adopter,0,48.95490264892578
Non-adopter,0,55.534019470214844
Non-adopter,0,434.4538879394531
Non-adopter,0,124.3011245727539
Non-adopter,0,178.421630859375
Non-adopter,0,239.499267578125
Non-adopter,0,539.7877197265625
Adopter,37,246.98533630371094
Non-adopter,37,87.0691146850586
Non-adopter,0,473.41168212890625
Adopter,0,258.9942626953125
Non-adopter,0,56.6656608581543
Non-adopter,210,145.33616638183594
Adopter,37,248.79798889160156
Non-adopter,37,598.34619140625
Non-adopter,0,149.91543579101562
Non-adopter,0,644.339111328125
Non-adopter,0,904.43939208984375
Non-adopter,0,265.0370788574219
Non-adopter,100,331.6455993652344
Non-adopter,100,60.349830627441406
Non-adopter,0,297.6849670410156
Non-adopter,0,167.19985961914062
Non-adopter,0,304.8398132324219
Non-adopter,100,187.1557159423828
Adopter,222,707.68304443359375
Non-adopter,222,601.9224853515625
Non-adopter,0,392.3672180175781
Non-adopter,37,1165.791015625
Non-adopter,37,915.63128662109375
Non-adopter,100,184.74917602539062
Non-adopter,111,46.74249267578125
Non-adopter,111,255.36155700683594
Non-adopter,40,22.4038143157959
Non-adopter,0,93.10363006591797
Non-adopter,0,314.0550231933594
Non-adopter,80,76.34539794921875
Non-adopter,74,210.4293670654297
Non-adopter,74,214.88613891601562
Adopter,180,484.8744201660156
Non-adopter,111,335.9963684082031
Non-adopter,111,169.14549255371094
Non-adopter,120,356.9896240234375
Non-adopter,0,100.36790466308594
Non-adopter,0,437.05645751953125
Non-adopter,300,372.9382019042969
Adopter,120,707.99468994140625
Non-adopter,120,507.14068603515625
Non-adopter,150,383.3287048339844
Non-adopter,0,470.466552734375
Non-adopter,0,259.4395751953125
Adopter,0,333.3478088378906
Non-adopter,0,243.11813354492188
Non-adopter,0,244.5327911376953
Adopter,100,162.254150390625
Non-adopter,0,180.50961303710938
Adopter,0,148.4371337890625
Adopter,250,1085.547607421875
Non-adopter,0,125.95448303222656
Non-adopter,0,33.25425338745117
Non-adopter,0,335.1864318847656
Non-adopter,74,82.32506561279297
Non-adopter,74,45.32932662963867
Adopter,80,199.95458984375
Non-adopter,111,601.60980224609375
Non-adopter,111,527.9033203125
Non-adopter,37,233.98802185058594
Non-adopter,0,94.64387512207031
Non-adopter,0,182.5817413330078
Non-adopter,0,333.5076599121094
Non-adopter,0,309.7340087890625
Non-adopter,0,190.78407287597656
Non-adopter,0,228.236083984375
Non-adopter,74,466.6131286621094
Non-adopter,74,168.15513610839844
Non-adopter,100,680.9859619140625
Non-adopter,148,87.79835510253906
Non-adopter,148,259.4354248046875
Non-adopter,160,833.9864501953125
Non-adopter,0,190.2246551513672
Non-adopter,0,148.74940490722656
Non-adopter,60,332.5317687988281
Non-adopter,74,128.18313598632812
Non-adopter,74,425.49835205078125
Non-adopter,40,431.7245178222656
Non-adopter,148,606.8740234375
Non-adopter,148,600.42608642578125
Adopter,80,455.8415222167969
Non-adopter,74,209.5043487548828
Non-adopter,74,86.19734954833984
Non-adopter,80,240.516357421875
Non-adopter,0,592.27716064453125
Non-adopter,0,465.38427734375
Non-adopter,0,943.841796875
Non-adopter,37,69.6893081665039
Non-adopter,37,478.30181884765625
Adopter,0,373.9208679199219
Non-adopter,37,92.69620513916016
Non-adopter,37,199.25625610351562
Non-adopter,0,66.45201110839844
Adopter,0,84.99129486083984
Adopter,0,336.6172180175781
Adopter,480,173.72637939453125
Non-adopter,50,670.68817138671875
Non-adopter,50,91.67792510986328
Non-adopter,40,372.7317810058594
Non-adopter,500,444.843017578125
Non-adopter,500,631.8153076171875
Adopter,0,104.49724578857422
Non-adopter,111,458.6465759277344
Non-adopter,111,290.0932922363281
Adopter,280,714.12005615234375
Non-adopter,0,86.36783599853516
Non-adopter,0,101.50353240966797
Non-adopter,234,219.26760864257812
Non-adopter,0,45.21646499633789
Non-adopter,0,253.3087158203125
Non-adopter,200,75.9468994140625
Non-adopter,0,233.2591552734375
Non-adopter,0,225.5507049560547
Non-adopter,0,175.712158203125
Non-adopter,100,463.069580078125
Non-adopter,100,75.77637481689453
Non-adopter,0,496.0776672363281
Non-adopter,200,669.63629150390625
Non-adopter,200,652.8272705078125
Non-adopter,40,348.1274719238281
Non-adopter,0,196.93299865722656
Non-adopter,0,191.29124450683594
Non-adopter,80,303.48431396484375
Non-adopter,0,418.6812438964844
Non-adopter,0,476.04833984375
Adopter,80,419.6334533691406
Non-adopter,0,226.32070922851562
Non-adopter,0,450.58770751953125
